Propublica Number,Club Name,Tax Year,Data Source,PDF URL,Total Revenue,Total Functional Expenses,Net Income,Total Assets,Total Liabilities,Net Assets,Found By,Verified By
43009105,HARVARD UNIVERSITY BAND INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_04_EO%2F04-3009105_990_200608.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_02_EO%2F04-3009105_990_200508.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2004,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2005_01_EO%2F04-3009105_990_200408.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2003,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2004_01_EO%2F04-3009105_990_200308.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2002,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2003_01_EO%2F04-3009105_990_200208.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2001,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2002_08_EO%2F04-3009105_990_200108.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2013,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2013_06_EO%2F04-2456752_990EZ_201301.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2011,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2012_01_EO%2F04-2456752_990EO_201101.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2011,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2012_07_EO%2F04-2456752_990ER_201101.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_07_EO%2F04-2456752_990EZ_201001.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_07_EO%2F04-2456752_990EZ_200901.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_10_EO%2F04-2456752_990EZ_200801.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_01_EO%2F04-2456752_990EZ_200701.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_05_EO%2F04-2456752_990ER_200701.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_05_EO%2F04-2456752_990EZ_200601.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_07_EO%2F04-2456752_990EZ_200601.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2005_05_EO%2F04-2456752_990EZ_200501.pdf,NA,NA,NA,NA,NA,NA,,
42456752,HARVARD INDEPENDENT INC,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_03_EO%2F04-2456752_990ER_200501.pdf,NA,NA,NA,NA,NA,NA,,
